area_name,murder,rape,gangrape,robbery,theft,assualt murders,sexual harassement,danger,area,Danger/area,lat,long
CHITRANJAN PARK,2,6,1,35,442,19,7,686,2.659329537,257.9597566,28.53632,77.2492
DABRI,8,28,0,79,240,26,16,836,3.401013428,245.8090854,28.61268,77.086
MALVIYA NAGAR,3,28,1,33,694,63,15,1157,1.379853572,838.4947675,28.52989,77.20418
CHANDNI MAHAL,1,8,1,23,529,19,7,730,5.570696132,131.0428684,28.64361,77.23608
MODEL TOWN,0,4,1,45,393,9,14,658,2.689157085,244.6863382,28.70257,77.19369
ANANDVIHAR,10,14,0,99,457,24,15,1066,4.558969692,233.8247613,28.65335,77.29373
KASHMERE GATE,0,9,3,17,340,17,12,538,1.627909974,330.4851058,28.66645,77.22618
GOVIND PURI,1,4,3,31,692,5,5,881,8.99271206,97.96822072,28.53067,77.26532
BINDAPUR,4,4,1,64,417,11,8,764,2.5680795,297.4985782,28.6091,77.06618
NEW FRIENDS COLONY,6,7,1,47,609,14,10,925,4.04538671,228.6555196,28.56234,77.2676
SARITA VIHAR,1,12,0,12,211,8,1,343,7.942774025,43.18390513,28.52299,77.30617
TIMARPUR,8,17,1,60,626,23,5,1057,6.149745104,171.8770424,28.7072,77.2242
KANJHAWALA,1,5,2,15,307,21,10,479,35.4901909,13.49668705,28.72582,77.00361
ANAND PARBAT,5,20,1,77,374,35,9,909,1.948430286,466.5293937,28.66004,77.17376
SAGARPUR,2,7,0,11,180,4,4,289,1.283551172,225.1565861,28.59139,77.08644
PRASHANT VIHAR,7,8,0,41,457,39,14,816,2.076678927,392.9350798,28.71793,77.12757
SOUTH CAMPUS,10,11,1,38,248,8,9,553,4.518856098,122.3761032,28.57051,77.179
ROHINI SOUTH,6,14,0,96,560,24,5,1107,2.649542395,417.8079966,28.70236,77.1159
PUNJABI BAGH,9,24,0,64,1251,54,19,1837,2.57731064,712.7584745,28.67441,77.13276
DWARKA NORTH,3,2,0,10,104,10,13,228,30.06854798,7.5826741,28.60369,77.01564
BURARI,3,12,0,56,562,21,17,954,11.3338763,84.17243799,28.73664,77.19735
JAMA MASJID,4,19,0,13,317,10,1,507,3.817050224,132.8250796,28.65284,77.23362
ADRASH NAGAR,3,15,0,41,354,18,3,653,1.646190527,396.673404,28.70984,77.17532
CHANAKYAPURI,1,7,2,40,649,20,4,911,10.99345252,82.86750667,28.60337,77.19606
PANDAV NAGAR,5,16,3,27,351,23,10,655,1.470612978,445.3925063,28.62038,77.30265
MIANWALI NAGAR,1,12,1,46,400,27,8,732,1.729847853,423.1586025,28.67965,77.08879
FATEHPUR BERI,7,10,0,60,683,7,9,1049,35.89559495,29.22364155,28.46549,77.15114
NABI KARIM,4,4,0,29,612,6,5,795,1.799866446,441.6994393,28.64981,77.21754
RAJOURI GARDEN,1,7,0,37,567,20,4,807,1.731624057,466.0364914,28.63969,77.11992
JAHANGIR PURI,1,23,1,17,441,36,6,724,2.463668046,293.8707596,28.73358,77.17487
KAMLA MARKET,4,11,0,5,107,7,5,231,3.095888323,74.61509457,28.64295,77.22621
BARAKHAMBA ROAD,9,14,1,125,808,16,38,1574,3.748441999,419.9077911,28.63089,77.22498
SAFDARJUNG ENCLAVE,2,7,0,1,83,3,10,168,2.366255942,70.99823693,28.56934,77.20489
MUKHERJI NAGAR,1,8,0,54,789,14,7,1099,6.149745104,178.7065938,28.70024,77.20856
FARASH BAZAR,6,3,1,20,374,14,9,559,1.721757744,324.6682072,28.66879,77.29224
KALKAJI,2,9,0,17,141,8,2,286,2.659329537,107.5459043,28.53321,77.25743
KALKAJI,2,9,0,17,141,8,2,286,2.745338744,104.1765795,28.54728,77.25644
PARSHAD NAGAR,1,12,2,36,466,6,13,736,4.104570166,179.3123202,28.64784,77.18053
LODHI COLONY,0,5,0,17,168,13,5,302,2.11696063,142.6573531,28.58744,77.24047
INDERPURI,0,13,0,17,212,31,5,422,1.255396299,336.1488323,28.63077,77.14501
OKHLA,6,27,3,8,174,13,13,451,1.71603619,262.8149701,28.52678,77.27462
SAMAYPURBADLI,0,2,0,5,74,7,2,124,3.249865013,38.15543092,28.72516,77.14219
JAFFARPUR KALAN,2,11,1,35,719,8,5,960,70.46948722,13.62291735,28.59572,76.91555
MAYA PURI,3,21,2,17,256,28,17,561,2.553754816,219.6765314,28.62657,77.12084
AMAN VIHAR,10,14,1,84,487,25,12,1034,3.296887934,313.6291014,28.70965,77.06081
VIJAY VIHAR,0,3,0,9,232,6,5,310,2.649542395,117.001336,28.71003,77.10186
AMAR COLONY,3,14,1,88,484,17,40,1080,1.505936692,717.1616216,28.55914,77.24093
ALIPUR,6,15,1,52,320,22,18,736,51.54547492,14.27865397,28.79903,77.13913
MAHENDRA PARK,0,15,2,37,832,28,4,1133,2.463668046,459.8833848,28.72579,77.16418
VASANT KUNJ SOUTH,0,1,0,1,65,1,3,85,14.1053716,6.026073074,28.53492,77.15236
BHALSWA DAIRY,2,13,1,28,338,23,12,612,4.49852205,136.0446816,28.74286,77.16574
BAWANA,6,20,3,93,383,13,8,950,40.32792292,23.55687899,28.79654,77.04254
BEGUM PUR,0,4,0,73,413,5,4,747,35.4901909,21.04806937,28.72449,77.05179
NARAINA,2,11,0,28,425,18,12,674,14.93729349,45.12196272,28.63356,77.13777
NEB SARAI,3,20,2,35,626,19,13,968,8.344724019,116.0014397,28.49893,77.21428
RAJINDER NAGAR,1,21,1,31,474,32,11,810,3.013302528,268.8080578,28.63505,77.18285
SHALIMAR BAGH,8,9,0,45,335,13,23,695,1.28161156,542.285995,28.71681,77.15712
KESHAV PURAM,1,43,0,21,336,47,10,764,1.352844685,564.735929,28.68423,77.15977
RANI BAGH,2,25,1,56,496,27,10,944,2.974723888,317.340377,28.69784,77.11933
BARA HINDU RAO,6,20,2,35,284,10,10,614,1.749323881,350.9927502,28.66539,77.20846
CONNAUGHT PLACE,1,11,0,55,800,36,6,1170,5.266891996,222.1423946,28.63,77.21432
H. N. DIN,1,8,1,15,214,14,4,364,10.31630404,35.28395427,28.59238,77.24417
DARYA GANJ,4,5,0,19,180,8,6,335,5.570696132,60.13611083,28.6419,77.24062
MANGOLPURI,8,15,1,9,116,27,10,356,2.980192322,119.4553779,28.69664,77.09163
VIVEKVIHAR,0,1,0,6,120,1,3,160,4.731868997,33.81327761,28.66676,77.30662
LAHORI GATE,9,12,2,10,244,20,5,454,2.975208719,152.5943364,28.65557,77.21885
SULTAN PURI,0,9,0,66,631,16,7,993,1.975070373,502.7668956,28.70265,77.07856
GEETA COLONY,3,6,0,9,254,9,11,386,1.021961219,377.7051348,28.6554,77.27642
CIVIL LINES,3,9,0,63,791,24,17,1202,4.21554288,285.1352801,28.68851,77.2215
ASHOK VIHAR,5,10,2,52,445,22,7,803,3.536288039,227.0742629,28.69245,77.17432
TILAK NAGAR,7,29,3,44,466,27,8,915,1.622207446,564.0462336,28.63896,77.10143
PALAM VILLAGE,4,9,3,22,192,19,4,410,1.326803624,309.0133254,28.58809,77.08293
MOTI NAGAR,2,24,0,44,814,41,24,1274,3.148605142,404.6236167,28.66013,77.14659
HARI NAGAR,5,17,0,11,469,21,5,680,2.386161479,284.9765223,28.60935,77.09946
PAHARGANJ,7,16,0,19,283,29,14,574,1.728182346,332.140877,28.64583,77.20931
SADAR BAZAR,4,3,0,13,379,3,4,484,2.975208719,162.6776625,28.65399,77.21115
SAROJINI NAGAR,1,5,0,25,347,6,0,489,1.891342634,258.5464903,28.57449,77.19913
NAJAFGARH,2,4,0,54,895,9,9,1186,8.461597124,140.1626646,28.60975,76.98269
KAPASHERA,1,12,3,19,143,16,2,337,21.50057279,15.67400103,28.52958,77.0872
KALYANPURI,5,8,0,33,245,9,3,469,0.878452779,533.8932396,28.61363,77.31708
BADAR PUR,4,11,1,59,318,10,8,678,2.116989697,320.2660839,28.49385,77.30357
SUBHASH PLACE,10,15,1,54,590,5,26,1024,0.885072498,1156.96737,28.68901,77.14412
SUBZIMANDI,7,14,2,61,644,9,17,1072,2.975208719,360.3108559,28.66917,77.20774
MAURICE NAGAR,2,31,0,31,469,38,10,864,6.149745104,140.4936278,28.69251,77.20652
MANDIR MARG,5,24,4,50,817,68,15,1363,9.889059631,137.8290809,28.63857,77.20325
TUGLAK ROAD,3,15,0,67,595,17,8,1011,6.857849293,147.4223123,28.59827,77.21117
LAJPAT NAGAR,1,7,0,15,160,8,8,300,1.505936692,199.2115615,28.56843,77.24052
KRISHNA NAGAR,7,13,2,14,133,25,4,361,1.904048824,189.5959786,28.66699,77.28072
PRASHANT VIHAR,7,8,0,41,457,39,14,816,6.857849293,118.9877417,28.60415,77.23372
ANANDVIHAR,10,14,0,99,457,24,15,1066,4.558969692,233.8247613,28.65597,77.31306
SWARUP NAGAR,4,23,1,52,443,31,6,871,12.08811457,72.05424758,28.75841,77.1562
GREATER KAILASH,0,2,0,12,164,6,4,246,3.793564843,64.84665748,28.5541,77.23278
VIKAS PURI,2,3,1,14,204,7,1,307,1.247661874,246.0602559,28.62997,77.06834
UTTAM NAGAR,2,10,1,81,1042,23,21,1540,2.747375479,560.5349585,28.62499,77.06488
DEFENCE COLONY,3,14,1,25,158,16,10,410,2.480276534,165.3041483,28.56468,77.23337
JAMIA NAGAR,9,23,4,20,261,23,5,582,7.880690981,73.85139214,28.56207,77.29235
KASHMERE GATE,0,9,3,17,340,17,12,538,1.627909974,330.4851058,28.66254,77.2315
PULPRAHLAD PUR,2,15,1,41,389,24,9,718,3.852127696,186.3904981,28.50165,77.29099
SARITA VIHAR,1,12,0,12,211,8,1,343,6.171102991,55.58163597,28.54046,77.28196
NANGLOI,3,13,5,58,838,23,15,1266,2.253261514,561.8522272,28.68199,77.06698
